"Region","gini10","gini11","gini12","gini13","gini14","gini15","gini16"
"East",0.33,0.34,0.32,0.32,0.31,0.32,0.34
"East_Midlands",0.3,0.3,0.3,0.3,0.3,0.3,0.31
"London",0.39,0.39,0.38,0.34,0.35,0.36,0.37
"North_East",0.29,0.31,0.28,0.29,0.31,0.31,0.3
"North_West",0.31,0.29,0.31,0.3,0.32,0.32,0.31
"Northern_Ireland",0.3,0.24,0.3,0.3,0.3,0.28,0.29
"Scotland",0.33,0.31,0.3,0.31,0.31,0.34,0.32
"South_East",0.33,0.35,0.33,0.32,0.34,0.36,0.33
"South_West",0.31,0.32,0.3,0.31,0.3,0.3,0.32
"Wales",0.31,0.31,0.31,0.3,0.37,0.31,0.29
"West_Midlands",0.32,0.31,0.31,0.31,0.3,0.3,0.32
"Yorkshire",0.3,0.3,0.3,0.33,0.31,0.33,0.33
