"Region","mean10","mean11","mean12","mean13","mean14","mean15","mean16","Delta.Mean","Abk<U+00FC>rzung.x","Remain.x","Leave.x","Remain.Share.x","Leave","gini10","gini11","gini12","gini13","gini14","gini15","gini16","Percent.Change.Gini","Abk<U+00FC>rzung.y","Remain.y","Leave.y","Remain.Share.y","Leave.Share.y"
"East",21655,20938,22828,21766,24536,25430,24934,3279,"UKH",1448616,1880367,0.435152717812016,0.564847282187984,0.34,0.35,0.35,0.34,0.34,0.35,0.36,7.05,"UKH",1448616,1880367,0.435152717812016,0.564847282187984
"East_Midlands",18938,18612,18770,19121,21096,22332,22637,3699,"UKF",1033036,1475479,0.411811769114396,0.588188230885604,0.31,0.3,0.34,0.33,0.33,0.33,0.34,10.53,"UKF",1033036,1475479,0.411811769114396,0.588188230885604
"London",23685,24646,27167,23854,25311,27258,26510,2826,"UKI",2263519,1513232,0.599329688401486,0.400670311598514,0.4,0.4,0.41,0.37,0.38,0.42,0.42,4.49,"UKI",2263519,1513232,0.599329688401486,0.400670311598514
"North_East",18016,18069,18156,17126,18977,21650,20740,2723,"UKC",562595,778103,0.419628432353893,0.580371567646107,0.29,0.31,0.34,0.33,0.34,0.33,0.34,14.46,"UKC",562595,778103,0.419628432353893,0.580371567646107
"North_West",18154,18127,18990,18989,20307,21204,20866,2712,"UKD",1699020,1966925,0.46346030832432,0.53653969167568,0.32,0.29,0.35,0.33,0.35,0.35,0.35,10.71,"UKD",1699020,1966925,0.46346030832432,0.53653969167568
"Northern_Ireland",16824,16923,18013,17719,18848,19348,19944,3120,"UKN",440707,349442,0.557751765806196,0.442248234193804,0.31,0.24,0.34,0.33,0.34,0.33,0.32,5.28,"UKN",440707,349442,0.557751765806196,0.442248234193804
"Scotland",18810,18248,19828,20218,22517,22695,23009,4199,"UKM",1611191,1018322,0.612733612649947,0.387266387350053,0.33,0.32,0.34,0.33,0.34,0.37,0.36,8.99,"UKM",1611191,1018322,0.612733612649947,0.387266387350053
"South_East",22838,24228,23525,23801,27685,28370,26503,3665,"UKJ",2391718,2567965,0.482232029748675,0.517767970251324,0.34,0.36,0.37,0.35,0.36,0.39,0.36,6.12,"UKJ",2391718,2567965,0.482232029748675,0.517767970251324
"South_West",20572,20363,21451,20755,21791,23823,23541,2969,"UKK",1503019,1669711,0.473730509687241,0.526269490312759,0.31,0.32,0.34,0.34,0.33,0.33,0.34,10.75,"UKK",1503019,1669711,0.473730509687241,0.526269490312759
"Wales",18751,18346,17249,17419,21009,19857,19445,693,"UKL",772347,854572,0.474729842112607,0.525270157887393,0.32,0.31,0.34,0.32,0.43,0.35,0.33,4.48,"UKL",772347,854572,0.474729842112607,0.525270157887393
"West_Midlands",19281,19070,19459,18409,20294,21594,21506,2224,"UKG",1207175,1755687,0.407435445862818,0.592564554137182,0.33,0.32,0.34,0.34,0.33,0.33,0.36,9.78,"UKG",1207175,1755687,0.407435445862818,0.592564554137182
"Yorkshire",18250,19101,18206,19172,21114,21431,21438,3187,"UKE",1158298,1580937,0.422854556107818,0.577145443892182,0.3,0.3,0.33,0.35,0.34,0.36,0.36,18.49,"UKE",1158298,1580937,0.422854556107818,0.577145443892182
